SG_UF,NM_MUNICIPIO,num_eleitores,perc_lula,perc_votos_mulheres_fed,perc_votos_mulheres_est,perc_votos_mulheres_total
MG,CARANDAÍ,34316.0,52.28,7.8,11.34,9.57
AL,MATA GRANDE,24790.0,77.3,6.37,12.75,9.56
SP,CORONEL MACEDO,5878.0,61.66,8.79,10.29,9.54
PI,LAGOA ALEGRE,13348.0,85.21,13.75,5.3,9.53
BA,ITABERABA,78748.0,69.94,10.42,8.63,9.53
ES,ÁGUA DOCE DO NORTE,15820.0,52.53,5.28,13.75,9.52
SE,SÃO FRANCISCO,5808.0,65.18,4.1,14.94,9.52
BA,FLORESTA AZUL,12120.0,72.42,4.52,14.5,9.51
PI,JATOBÁ DO PIAUÍ,10610.0,82.41,14.25,4.73,9.49
AL,BOCA DA MATA,28334.0,54.11,6.77,12.22,9.49
SE,SÃO DOMINGOS,12476.0,58.23,5.72,13.26,9.49
